type,city,zip,price,beds,baths,sqft,lot,year,price_per_sqft
Multi-Family (2-4 Unit),Washington,20015,474000,4,4,2608,2684,1937,182
Townhouse,Washington,20002,700000,2,2,993,,1900,705
Townhouse,Alexandria,22314,1250000,3,4,1934,792,1999,646
Condo/Co-op,Washington,20001,217500,,1,278,,1950,782
Condo/Co-op,Washington,20007,175000,1,1,415,,1963,422
Townhouse,Washington,20010,853000,3,3,1550,,2015,550
Townhouse,Washington,20003,1050000,6,5,2658,1575,1900,395
Single Family Residential,Washington,20007,2995000,4,3,3762,4208,1980,796
Single Family Residential,Washington,20007,990000,3,2,2425,2250,1924,408
Condo/Co-op,Washington,20008,715000,2,2,1426,1426,1929,501
Condo/Co-op,Washington,20020,185000,2,1,820,,1940,226
Condo/Co-op,Washington,20020,120000,2,1,787,,1936,152
Single Family Residential,Washington,20016,2150000,0,0.5,2921,11674,1941,736
Single Family Residential,Washington,20015,1100000,4,2.5,2366,6500,1924,465
Townhouse,Washington,20011,783656,3,3,,820,2022,
Multi-Family (2-4 Unit),Washington,20009,795000,4,2.5,1802,2332,1912,441
Condo/Co-op,Washington,20024,896300,1,1.5,800,,2022,1120
Townhouse,Washington,20032,305000,3,1.5,1224,1422,1977,249
Single Family Residential,Washington,20008,4750000,4,3,3600,15311,1890,1319
Condo/Co-op,Washington,20005,717500,2,2.5,1142,,2003,628
Townhouse,Washington,20003,700000,3,1,1280,1634,1925,547
Single Family Residential,Washington,20015,3300000,6,5.5,4817,6750,1929,685
Townhouse,Washington,20009,896907,2,2,904,,1900,992
Townhouse,Washington,20001,725000,3,2.5,1816,1500,1895,399
Condo/Co-op,Washington,20007,355000,1,1,633,,1936,561
Condo/Co-op,Washington,20007,350000,1,1,530,,1900,660
Single Family Residential,Washington,20011,725000,3,2.5,1844,6039,2007,393
Multi-Family (2-4 Unit),Washington,20019,1400000,,,,3500,1955,
Single Family Residential,Washington,20011,2275000,5,5,2738,7065,1925,831
Condo/Co-op,Washington,20015,168000,1,1,504,,1957,333
Condo/Co-op,Temple Hills,20748,45000,,,499,,2000,90
Condo/Co-op,Alexandria,22314,264000,1,1,605,,1968,436
Single Family Residential,Washington,20008,9650000,7,6.5,7320,12865,1929,1318
Townhouse,Washington,20002,1200000,3,2.5,2450,1796,1890,490
Condo/Co-op,Washington,20020,53370,2,1,852,,1963,63
Multi-Family (2-4 Unit),Washington,20002,289000,6,6,3280,1520,1942,88
Townhouse,Washington,20011,1050000,4,3,2050,,1920,512
Townhouse,Washington,20001,880000,3,2.5,1396,864,1900,630
Condo/Co-op,Washington,20036,450000,1,1,765,,1968,588
Single Family Residential,Washington,20019,799900,4,5,1786,2797,1906,448
Single Family Residential,Washington,20008,1836000,4,3.5,3908,11987,1977,470
Condo/Co-op,Washington,20024,265000,0,1,445,,1959,596
Condo/Co-op,Washington,20002,689900,2,2,945,,2021,730
Condo/Co-op,Washington,20016,330000,1,1,715,,1937,462
Single Family Residential,Chevy Chase,20815,1600000,3,3,1801,10038,1931,888
Condo/Co-op,Washington,20024,459000,2,1,1144,,1967,401
Single Family Residential,Washington,20008,2000000,6,6,4451,8990,1942,449
Townhouse,Washington,20001,614000,3,1,918,834,1913,669
Single Family Residential,Capitol Heights,20743,158500,3,1.5,1316,5700,1910,120
Single Family Residential,Washington,20016,1400000,4,2,1606,7750,1922,872
Townhouse,Washington,20019,499990,3,2.5,1326,2079,1950,377
Single Family Residential,Washington,20008,1750000,4,3.5,3693,4296,1922,474
Single Family Residential,Washington,20001,1435000,1,1.5,1591,,1905,902
Condo/Co-op,Washington,20008,569000,2,2,1389,,1966,410
Condo/Co-op,Washington,20036,420000,1,1,711,,1962,591
Condo/Co-op,Washington,20007,420000,1,1,625,,1984,672
Townhouse,Washington,20008,1540000,4,3.5,2765,4557,1922,557
Townhouse,Washington,20019,325000,2,1.5,1478,2875,1937,220
Condo/Co-op,Washington,20009,457500,2,1,912,,1917,502
Townhouse,Washington,20001,1000000,3,2.5,1450,1650,1900,690
Single Family Residential,Washington,20020,674990,5,3,2740,5500,1940,246
